meeting_id,entity_id,entity_legal_name,country_code,committee_name,meeting_type,meeting_date,reporting_year,board_size,members_present,attendance_rate_pct,esg_agenda_flag,decision_made_flag,esg_topics_discussed,linked_kpi_code,linked_kpi_name,linked_erm_risk_id,linked_erm_risk_name,decision_summary,action_owner_function,action_due_date,action_status,minutes_status,data_source,created_from
MTG-000124,ENT-DE-003,Atlas Bank Deutschland AG,DE,Board of Directors,full_board,2022-10-05,2022,12,12,100.0,True,True,Motor vehicle portfolio emissions review,FIN-009,Project finance exposure,RISK-007,Greenwashing litigation and conduct risk,Decision recorded: Motor vehicle portfolio emissions review | linked KPI FIN-009 | linked risk RISK-007,Legal,2023-01-31,in_progress,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000125,ENT-DE-003,Atlas Bank Deutschland AG,DE,Board ESG & Sustainability Committee,esg_committee,2022-03-15,2022,7,6,85.7,True,True,Physical risk exposure review; Net-zero target progress review,FIN-003,High-emission sector exposure,RISK-003,Chronic heat - commercial real estate,Decision recorded: Physical risk exposure review | linked KPI FIN-003 | linked risk RISK-003,Portfolio Risk,2022-06-25,monitored,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000126,ENT-DE-003,Atlas Bank Deutschland AG,DE,Board ESG & Sustainability Committee,esg_committee,2022-06-17,2022,9,6,66.7,True,True,ESG remuneration KPI setting,GOV-001,Board meetings with ESG agenda,,,Decision recorded: ESG remuneration KPI setting | linked KPI GOV-001,Board Secretariat,2022-08-31,monitored,pending_review,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000127,ENT-DE-003,Atlas Bank Deutschland AG,DE,Board ESG & Sustainability Committee,esg_committee,2022-09-13,2022,9,8,88.9,True,True,Financed emissions methodology review; IFRS S2 climate disclosure approval; Transition risk appetite approval,FIN-005,Financed emissions data coverage,RISK-013,Board climate competence gap,Decision recorded: Financed emissions methodology review | linked KPI FIN-005 | linked risk RISK-013,Board Secretariat,2022-10-27,deferred,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000128,ENT-DE-003,Atlas Bank Deutschland AG,DE,Board ESG & Sustainability Committee,esg_committee,2022-12-16,2022,8,8,100.0,True,True,ESG remuneration KPI setting,GOV-001,Board meetings with ESG agenda,,,Decision recorded: ESG remuneration KPI setting | linked KPI GOV-001,Data Governance,2023-03-12,completed,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000129,ENT-DE-003,Atlas Bank Deutschland AG,DE,Board of Directors,full_board,2023-01-20,2023,10,7,70.0,True,True,Annual sustainability report sign-off,ENV-001,Scope 1 emissions,,,Decision recorded: Annual sustainability report sign-off | linked KPI ENV-001,Sustainability Office,2023-03-22,monitored,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000130,ENT-DE-003,Atlas Bank Deutschland AG,DE,Board of Directors,full_board,2023-04-07,2023,10,9,90.0,True,False,Annual sustainability report sign-off,ENV-001,Scope 1 emissions,,,Discussion only; no formal decision recorded for Annual sustainability report sign-off,Internal Audit,,,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000131,ENT-DE-003,Atlas Bank Deutschland AG,DE,Board of Directors,full_board,2023-07-21,2023,11,8,72.7,False,False,,,,,,,,,,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000132,ENT-DE-003,Atlas Bank Deutschland AG,DE,Board of Directors,full_board,2023-10-16,2023,12,10,83.3,True,True,Transition risk appetite approval,FIN-007,High transition risk exposure,RISK-005,Carbon pricing - industrial loans,Decision recorded: Transition risk appetite approval | linked KPI FIN-007 | linked risk RISK-005,Credit Risk,2023-11-20,monitored,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000133,ENT-DE-003,Atlas Bank Deutschland AG,DE,Board ESG & Sustainability Committee,esg_committee,2023-03-10,2023,7,6,85.7,True,True,Transition risk appetite approval; Financed emissions methodology review,FIN-003,High-emission sector exposure,RISK-005,Carbon pricing - industrial loans,Decision recorded: Transition risk appetite approval | linked KPI FIN-003 | linked risk RISK-005,Credit Risk,2023-04-28,in_progress,pending_review,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000134,ENT-DE-003,Atlas Bank Deutschland AG,DE,Board ESG & Sustainability Committee,esg_committee,2023-06-22,2023,7,7,100.0,True,True,Green bond framework update,ENV-002,Scope 2 location-based emissions,,,Decision recorded: Green bond framework update | linked KPI ENV-002,Risk Management,2023-08-15,not_started,draft,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000135,ENT-DE-003,Atlas Bank Deutschland AG,DE,Board ESG & Sustainability Committee,esg_committee,2023-09-08,2023,8,5,62.5,True,True,Real estate collateral emissions review,FIN-002,Outstanding loan exposure,RISK-002,Storm surge - coastal collateral,Decision recorded: Real estate collateral emissions review | linked KPI FIN-002 | linked risk RISK-002,Credit Risk,2023-12-07,completed,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000136,ENT-DE-003,Atlas Bank Deutschland AG,DE,Board ESG & Sustainability Committee,esg_committee,2023-12-08,2023,8,8,100.0,True,False,Supplier ESG policy update; PCAF data quality remediation; Physical risk exposure review,GOV-001,Board meetings with ESG agenda,,,Committee review completed; action items assigned,Finance,,monitored,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000137,ENT-DE-003,Atlas Bank Deutschland AG,DE,Board of Directors,full_board,2024-01-05,2024,9,8,88.9,True,True,Annual sustainability report sign-off,ENV-002,Scope 2 location-based emissions,,,Decision recorded: Annual sustainability report sign-off | linked KPI ENV-002,Data Governance,2024-06-07,monitored,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000138,ENT-DE-003,Atlas Bank Deutschland AG,DE,Board of Directors,full_board,2024-04-19,2024,9,9,100.0,False,False,,,,,,,,,,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000139,ENT-DE-003,Atlas Bank Deutschland AG,DE,Board of Directors,full_board,2024-07-12,2024,10,9,90.0,True,True,Physical risk exposure review,FIN-011,Motor vehicle exposure,RISK-003,Chronic heat - commercial real estate,Decision recorded: Physical risk exposure review | linked KPI FIN-011 | linked risk RISK-003,Portfolio Risk,2024-10-25,monitored,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000140,ENT-DE-003,Atlas Bank Deutschland AG,DE,Board of Directors,full_board,2024-10-18,2024,11,10,90.9,True,False,Physical risk exposure review,FIN-008,Sovereign bond exposure,RISK-002,Storm surge - coastal collateral,Discussion only; no formal decision recorded for Physical risk exposure review,Credit Risk,,,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000141,ENT-DE-003,Atlas Bank Deutschland AG,DE,Board ESG & Sustainability Committee,esg_committee,2024-03-22,2024,9,7,77.8,True,False,PCAF data quality remediation,FIN-012,"Financed emissions Scope 1, 2 and 3",RISK-012,ESG data quality and lineage weakness,Committee review completed; action items assigned,Data Governance,,monitored,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000142,ENT-DE-003,Atlas Bank Deutschland AG,DE,Board ESG & Sustainability Committee,esg_committee,2024-06-14,2024,7,7,100.0,True,True,Motor vehicle portfolio emissions review,FIN-002,Outstanding loan exposure,RISK-006,Mandatory climate disclosure non-compliance,Decision recorded: Motor vehicle portfolio emissions review | linked KPI FIN-002 | linked risk RISK-006,Compliance,2024-08-09,monitored,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000143,ENT-DE-003,Atlas Bank Deutschland AG,DE,Board ESG & Sustainability Committee,esg_committee,2024-09-13,2024,7,7,100.0,True,True,Transition risk appetite approval; Project finance emissions methodology review,FIN-010,Real estate exposure,RISK-010,Client transition plan credibility risk,Decision recorded: Transition risk appetite approval | linked KPI FIN-010 | linked risk RISK-010,Relationship Banking,2025-02-26,in_progress,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000144,ENT-DE-003,Atlas Bank Deutschland AG,DE,Board ESG & Sustainability Committee,esg_committee,2024-12-17,2024,8,8,100.0,True,True,ESG remuneration KPI setting; Financed emissions methodology review,FIN-006,SBTi-aligned exposure,,,Decision recorded: ESG remuneration KPI setting | linked KPI FIN-006,Board Secretariat,2025-02-04,completed,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000145,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board of Directors,full_board,2019-01-21,2019,9,9,100.0,True,True,Annual sustainability report sign-off,ENV-005,Energy cost,,,Decision recorded: Annual sustainability report sign-off | linked KPI ENV-005,Board Secretariat,2019-03-29,completed,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000146,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board of Directors,full_board,2019-04-05,2019,9,8,88.9,True,False,Real estate collateral emissions review,FIN-011,Motor vehicle exposure,RISK-009,Market repricing of high-emission collateral,Discussion only; no formal decision recorded for Real estate collateral emissions review,Market Risk,,,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000147,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board of Directors,full_board,2019-07-19,2019,10,9,90.0,True,True,Motor vehicle portfolio emissions review,FIN-009,Project finance exposure,RISK-007,Greenwashing litigation and conduct risk,Decision recorded: Motor vehicle portfolio emissions review | linked KPI FIN-009 | linked risk RISK-007,Legal,2019-08-27,monitored,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000148,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board of Directors,full_board,2019-10-16,2019,10,7,70.0,True,False,Net-zero target progress review,ENV-005,Energy cost,,,Discussion only; no formal decision recorded for Net-zero target progress review,Internal Audit,,,draft,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000149,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board ESG & Sustainability Committee,esg_committee,2019-03-14,2019,8,8,100.0,True,True,Supplier ESG policy update,GOV-001,Board meetings with ESG agenda,,,Decision recorded: Supplier ESG policy update | linked KPI GOV-001,Compliance,2019-06-18,in_progress,draft,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000150,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board ESG & Sustainability Committee,esg_committee,2019-06-21,2019,9,8,88.9,True,False,Sovereign bond financed emissions review; ESG remuneration KPI setting; Real estate collateral emissions review,FIN-010,Real estate exposure,RISK-006,Mandatory climate disclosure non-compliance,Committee review completed; action items assigned,Compliance,,monitored,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000151,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board ESG & Sustainability Committee,esg_committee,2019-09-18,2019,8,8,100.0,True,True,Annual sustainability report sign-off,GOV-001,Board meetings with ESG agenda,,,Decision recorded: Annual sustainability report sign-off | linked KPI GOV-001,Credit Risk,2019-11-25,completed,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000152,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board ESG & Sustainability Committee,esg_committee,2019-12-13,2019,8,6,75.0,True,True,Project finance emissions methodology review,FIN-010,Real estate exposure,RISK-007,Greenwashing litigation and conduct risk,Decision recorded: Project finance emissions methodology review | linked KPI FIN-010 | linked risk RISK-007,Legal,2020-01-17,completed,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000153,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board of Directors,full_board,2020-01-17,2020,12,11,91.7,True,True,Annual sustainability report sign-off,ENV-002,Scope 2 location-based emissions,,,Decision recorded: Annual sustainability report sign-off | linked KPI ENV-002,Compliance,2020-07-15,in_progress,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000154,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board of Directors,full_board,2020-04-08,2020,10,10,100.0,False,False,,,,,,,,,,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000155,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board of Directors,full_board,2020-07-24,2020,9,7,77.8,False,False,,,,,,,,,,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000156,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board of Directors,full_board,2020-10-09,2020,10,9,90.0,True,False,Annual sustainability report sign-off,ENV-005,Energy cost,,,Discussion only; no formal decision recorded for Annual sustainability report sign-off,Risk Management,,,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000157,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board ESG & Sustainability Committee,esg_committee,2020-03-12,2020,7,7,100.0,True,True,Annual sustainability report sign-off; Climate risk model validation; Net-zero target progress review,FIN-012,"Financed emissions Scope 1, 2 and 3",,,Decision recorded: Annual sustainability report sign-off | linked KPI FIN-012,Sustainability Office,2020-04-25,completed,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000158,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board ESG & Sustainability Committee,esg_committee,2020-06-22,2020,8,6,75.0,True,True,Financed emissions methodology review,FIN-004,Average PCAF data quality score,RISK-013,Board climate competence gap,Decision recorded: Financed emissions methodology review | linked KPI FIN-004 | linked risk RISK-013,Board Secretariat,2020-11-14,completed,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000159,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board ESG & Sustainability Committee,esg_committee,2020-09-22,2020,8,6,75.0,True,False,Motor vehicle portfolio emissions review; Supplier ESG policy update,FIN-009,Project finance exposure,RISK-007,Greenwashing litigation and conduct risk,Committee review completed; action items assigned,Legal,,monitored,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000160,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board ESG & Sustainability Committee,esg_committee,2020-12-16,2020,7,6,85.7,True,True,IFRS S2 climate disclosure approval; Supplier ESG policy update; Sovereign bond financed emissions review,FIN-007,High transition risk exposure,RISK-005,Carbon pricing - industrial loans,Decision recorded: IFRS S2 climate disclosure approval | linked KPI FIN-007 | linked risk RISK-005,Credit Risk,2021-01-22,not_started,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000161,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board of Directors,full_board,2021-01-14,2021,9,7,77.8,True,True,Annual sustainability report sign-off,ENV-001,Scope 1 emissions,,,Decision recorded: Annual sustainability report sign-off | linked KPI ENV-001,Risk Management,2021-02-16,deferred,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000162,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board of Directors,full_board,2021-04-14,2021,10,9,90.0,True,True,Project finance emissions methodology review,FIN-003,High-emission sector exposure,RISK-005,Carbon pricing - industrial loans,Decision recorded: Project finance emissions methodology review | linked KPI FIN-003 | linked risk RISK-005,Credit Risk,2021-08-10,completed,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000163,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board of Directors,full_board,2021-07-20,2021,12,12,100.0,True,True,Physical risk exposure review,FIN-007,High transition risk exposure,RISK-003,Chronic heat - commercial real estate,Decision recorded: Physical risk exposure review | linked KPI FIN-007 | linked risk RISK-003,Portfolio Risk,2021-11-24,in_progress,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000164,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board of Directors,full_board,2021-10-08,2021,9,8,88.9,False,False,,,,,,,,,,pending_review,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000165,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board ESG & Sustainability Committee,esg_committee,2021-03-19,2021,9,7,77.8,True,True,Motor vehicle portfolio emissions review,FIN-012,"Financed emissions Scope 1, 2 and 3",RISK-006,Mandatory climate disclosure non-compliance,Decision recorded: Motor vehicle portfolio emissions review | linked KPI FIN-012 | linked risk RISK-006,Compliance,2021-06-16,monitored,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000166,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board ESG & Sustainability Committee,esg_committee,2021-06-22,2021,8,6,75.0,True,True,Climate scenario analysis review; Physical risk exposure review,FIN-007,High transition risk exposure,RISK-005,Carbon pricing - industrial loans,Decision recorded: Climate scenario analysis review | linked KPI FIN-007 | linked risk RISK-005,Credit Risk,2021-07-22,completed,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000167,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board ESG & Sustainability Committee,esg_committee,2021-09-14,2021,7,6,85.7,True,True,Transition risk appetite approval,FIN-007,High transition risk exposure,RISK-007,Greenwashing litigation and conduct risk,Decision recorded: Transition risk appetite approval | linked KPI FIN-007 | linked risk RISK-007,Legal,2021-12-26,in_progress,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000168,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board ESG & Sustainability Committee,esg_committee,2021-12-14,2021,7,6,85.7,True,True,Green bond framework update; Transition risk appetite approval,ENV-001,Scope 1 emissions,,,Decision recorded: Green bond framework update | linked KPI ENV-001,Compliance,2022-02-06,completed,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000169,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board of Directors,full_board,2022-01-12,2022,12,11,91.7,True,True,Annual sustainability report sign-off,ENV-001,Scope 1 emissions,,,Decision recorded: Annual sustainability report sign-off | linked KPI ENV-001,Board Secretariat,2022-05-19,in_progress,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000170,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board of Directors,full_board,2022-04-22,2022,10,10,100.0,False,False,,,,,,,,,,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000171,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board of Directors,full_board,2022-07-06,2022,9,9,100.0,True,False,Net-zero target progress review,ENV-003,Total operational Scope 1 and 2 emissions,,,Discussion only; no formal decision recorded for Net-zero target progress review,Human Resources,,,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000172,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board of Directors,full_board,2022-10-14,2022,10,10,100.0,True,False,Green bond framework update,ENV-005,Energy cost,,,Discussion only; no formal decision recorded for Green bond framework update,Credit Risk,,,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000173,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board ESG & Sustainability Committee,esg_committee,2022-03-11,2022,9,9,100.0,True,True,Climate scenario analysis review; Real estate collateral emissions review,FIN-007,High transition risk exposure,RISK-002,Storm surge - coastal collateral,Decision recorded: Climate scenario analysis review | linked KPI FIN-007 | linked risk RISK-002,Credit Risk,2022-04-14,in_progress,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000174,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board ESG & Sustainability Committee,esg_committee,2022-06-14,2022,9,8,88.9,True,False,IFRS S2 climate disclosure approval; Financed emissions methodology review,FIN-007,High transition risk exposure,RISK-011,Supply chain - Scope 3 data gaps,Committee review completed; action items assigned,Sustainability Office,,monitored,pending_review,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000175,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board ESG & Sustainability Committee,esg_committee,2022-09-14,2022,9,9,100.0,True,True,Climate scenario analysis review,FIN-007,High transition risk exposure,RISK-009,Market repricing of high-emission collateral,Decision recorded: Climate scenario analysis review | linked KPI FIN-007 | linked risk RISK-009,Market Risk,2023-03-06,completed,pending_review,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000176,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board ESG & Sustainability Committee,esg_committee,2022-12-20,2022,8,7,87.5,True,True,Physical risk exposure review,FIN-008,Sovereign bond exposure,RISK-001,Flood risk - mortgage book,Decision recorded: Physical risk exposure review | linked KPI FIN-008 | linked risk RISK-001,Credit Risk,2023-06-12,in_progress,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000177,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board of Directors,full_board,2023-01-18,2023,11,10,90.9,True,True,Annual sustainability report sign-off,ENV-002,Scope 2 location-based emissions,,,Decision recorded: Annual sustainability report sign-off | linked KPI ENV-002,Data Governance,2023-06-27,completed,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000178,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board of Directors,full_board,2023-04-12,2023,10,9,90.0,True,False,Sovereign bond financed emissions review,FIN-008,Sovereign bond exposure,RISK-011,Supply chain - Scope 3 data gaps,Discussion only; no formal decision recorded for Sovereign bond financed emissions review,Sustainability Office,,,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000179,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board of Directors,full_board,2023-07-25,2023,10,9,90.0,True,False,Annual sustainability report sign-off,FIN-012,"Financed emissions Scope 1, 2 and 3",,,Discussion only; no formal decision recorded for Annual sustainability report sign-off,Compliance,,,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000180,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board of Directors,full_board,2023-10-11,2023,12,10,83.3,True,True,Transition risk appetite approval,FIN-011,Motor vehicle exposure,RISK-009,Market repricing of high-emission collateral,Decision recorded: Transition risk appetite approval | linked KPI FIN-011 | linked risk RISK-009,Market Risk,2024-01-07,in_progress,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000181,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board ESG & Sustainability Committee,esg_committee,2023-03-16,2023,7,7,100.0,True,True,Sovereign bond financed emissions review; Motor vehicle portfolio emissions review,FIN-003,High-emission sector exposure,RISK-012,ESG data quality and lineage weakness,Decision recorded: Sovereign bond financed emissions review | linked KPI FIN-003 | linked risk RISK-012,Data Governance,2023-09-11,monitored,draft,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000182,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board ESG & Sustainability Committee,esg_committee,2023-06-21,2023,8,8,100.0,True,False,Real estate collateral emissions review; Net-zero target progress review,FIN-002,Outstanding loan exposure,RISK-010,Client transition plan credibility risk,Committee review completed; action items assigned,Relationship Banking,,monitored,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000183,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board ESG & Sustainability Committee,esg_committee,2023-09-08,2023,7,5,71.4,True,False,Motor vehicle portfolio emissions review; Climate scenario analysis review; Physical risk exposure review,FIN-001,Financed emissions Scope 1 and 2,RISK-006,Mandatory climate disclosure non-compliance,Committee review completed; action items assigned,Compliance,,monitored,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000184,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board ESG & Sustainability Committee,esg_committee,2023-12-20,2023,8,7,87.5,True,False,Net-zero target progress review; ESG remuneration KPI setting,ENV-003,Total operational Scope 1 and 2 emissions,,,Committee review completed; action items assigned,Risk Management,,monitored,pending_review,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000185,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board of Directors,full_board,2024-01-05,2024,12,11,91.7,True,True,Annual sustainability report sign-off,ENV-001,Scope 1 emissions,,,Decision recorded: Annual sustainability report sign-off | linked KPI ENV-001,Data Governance,2024-03-03,completed,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000186,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board of Directors,full_board,2024-04-23,2024,11,10,90.9,False,False,,,,,,,,,,pending_review,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000187,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board of Directors,full_board,2024-07-15,2024,12,9,75.0,True,True,Real estate collateral emissions review,FIN-012,"Financed emissions Scope 1, 2 and 3",RISK-009,Market repricing of high-emission collateral,Decision recorded: Real estate collateral emissions review | linked KPI FIN-012 | linked risk RISK-009,Market Risk,2024-10-16,in_progress,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000188,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board of Directors,full_board,2024-10-21,2024,11,10,90.9,True,False,IFRS S2 climate disclosure approval,ENV-003,Total operational Scope 1 and 2 emissions,RISK-012,ESG data quality and lineage weakness,Discussion only; no formal decision recorded for IFRS S2 climate disclosure approval,Data Governance,,,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000189,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board ESG & Sustainability Committee,esg_committee,2024-03-15,2024,8,7,87.5,True,True,PCAF data quality remediation,FIN-005,Financed emissions data coverage,RISK-013,Board climate competence gap,Decision recorded: PCAF data quality remediation | linked KPI FIN-005 | linked risk RISK-013,Board Secretariat,2024-07-16,not_started,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000190,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board ESG & Sustainability Committee,esg_committee,2024-06-14,2024,9,7,77.8,True,True,Annual sustainability report sign-off; Green bond framework update,ENV-003,Total operational Scope 1 and 2 emissions,,,Decision recorded: Annual sustainability report sign-off | linked KPI ENV-003,Sustainability Office,2024-09-29,in_progress,pending_review,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
MTG-000191,ENT-NL-004,Atlas Bank Netherlands NV,NL,Board ESG & Sustainability Committee,esg_committee,2024-09-11,2024,8,8,100.0,True,False,Annual sustainability report sign-off,ENV-004,Energy consumption,,,Committee review completed; action items assigned,Data Governance,,monitored,approved,synthetic_board_minutes_schedule,synthetic_board_minutes_generation_v2_core_tables_aligned
