standard,paragraph_id,page,appendix,appendix_title,nearest_heading,text,paragraph_prefix,paragraph_number,paragraph_suffix,report_section,official_section_heading,mapping_method,paragraph_quality_score,paragraph_quality_issues
IFRS S1,82,23,,,Measurement uncertainty,Other IFRS Sustainability Disclosure Standards may require disclosure of some of the information that an entity would otherwise be required to disclose in accordance with paragraphs 77–78.,,82,,General Requirements,Measurement uncertainty,auto_toc_body_range,1.0,[]
IFRS S1,83,23,,,Errors,An entity shall correct material prior period errors by restating the comparative amounts for the prior period(s) disclosed unless it is impracticable to do so.,,83,,General Requirements,Errors,auto_toc_body_range,1.0,[]
IFRS S1,84,23,,,Errors,"Prior period errors are omissions from and misstatements in the entity’s sustainability-related financial disclosures for one or more prior periods. Such errors arise from a failure to use, or the misuse of, reliable information that: (a) was available when the sustainability-related financial disclosures for that period(s) were authorised for issue; and (b) could reasonably be expected to have been obtained and considered in the preparation of those disclosures.",,84,,General Requirements,Errors,auto_toc_body_range,1.0,[]
IFRS S1,85,23,,,Errors,Corrections of errors are distinguished from changes in estimates. Estimates are approximations that an entity might need to revise as additional information becomes known.,,85,,General Requirements,Errors,auto_toc_body_range,1.0,[]
IFRS S1,86,23,,,Errors,"If an entity identifies a material error in its prior period sustainability-related financial disclosures, it shall apply paragraphs B55–B59.",,86,,General Requirements,Errors,auto_toc_body_range,1.0,[]
IFRS S1,B1,26,B,Application guidance,Sustainability-related risks and opportunities (paragraphs 11–12),"This Standard requires an entity to disclose information about all sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s cash flows, its access to finance or cost of capital over the short, medium or long term (referred to as ‘sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects’) (see paragraph 3).",B,1,,General Requirements,Sustainability-related risks and opportunities (paragraphs 11–12),auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B2,26,B,Application guidance,Sustainability-related risks and opportunities (paragraphs 11–12),"An entity’s sustainability-related risks and opportunities arise out of the interactions between the entity and its stakeholders, society, the economy and the natural environment throughout the entity’s value chain. These interactions—which can be direct and indirect—result from operating an entity’s business model in pursuit of the entity’s strategic purposes and from the external environment in which the entity operates. These interactions take place within an interdependent system in which an entity both depends on resources and relationships throughout its value chain to generate cash flows and affects those resources and relationships through its activities and outputs—contributing to the preservation, regeneration and development of those resources and relationships or to their degradation and depletion. These dependencies and impacts might give rise to sustainability-related risks and opportunities that could reasonably be expected to affect an entity’s cash flows, its access to finance and cost of capital over the short, medium and long term.",B,2,,General Requirements,Sustainability-related risks and opportunities (paragraphs 11–12),auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B3,26,B,Application guidance,Sustainability-related risks and opportunities (paragraphs 11–12),"For example, if an entity’s business model depends on a natural resource— such as water—the entity could both affect and be affected by the quality, availability and affordability of that resource. Specifically, degradation or depletion of that resource—including resulting from the entity’s own activities and from other factors—could create a risk of disruption to the entity’s operations and affect the entity’s business model or strategy and could ultimately negatively affect the entity’s financial performance and financial position. In contrast, regeneration and preservation of that resource— including resulting from the entity’s own activities and from other factors— could positively affect the entity. Similarly, if an entity operates in a highly competitive market and requires a highly specialised workforce to achieve its strategic purposes, the entity’s future success will likely depend on the entity’s ability to attract and retain that resource. At the same time, that ability will depend, in part, on the entity’s employment practices—such as whether the entity invests in employee training and wellbeing—and the levels of employee satisfaction, engagement and retention. These examples illustrate the close relationship between the value the entity creates, preserves or erodes for others and the entity’s own ability to succeed and achieve its goals.",B,3,,General Requirements,Sustainability-related risks and opportunities (paragraphs 11–12),auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B4,27,B,Application guidance,Sustainability-related risks and opportunities (paragraphs 11–12),"Resources and relationships that an entity depends on and affects by its activities and outputs can take various forms, such as natural, manufactured, intellectual, human, social or financial. They can be internal—such as the entity’s workforce, its know-how or its organisational processes—or they can be external—such as materials and services the entity needs to access or the relationships it has with suppliers, distributors and customers. Furthermore, resources and relationships include, but are not limited to, the resources and relationships recognised as assets in the entity’s financial statements.",B,4,,General Requirements,Sustainability-related risks and opportunities (paragraphs 11–12),auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B5,27,B,Application guidance,Sustainability-related risks and opportunities (paragraphs 11–12),"An entity’s dependencies and impacts are not limited to resources the entity engages with directly, and to the entity’s direct relationships. Those dependencies and impacts also relate to resources and relationships throughout the entity’s value chain. For example, they can relate to the entity’s supply and distribution channels; the effects of the consumption and disposal of the entity’s products; and the entity’s sources of finance and its investments, including investments in associates and joint ventures. If the entity’s business partners throughout its value chain face sustainability-related risks and opportunities, the entity could be exposed to related consequences of its own.",B,5,,General Requirements,Sustainability-related risks and opportunities (paragraphs 11–12),auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B7,27,B,Application guidance,Identifying sustainability-related risks and opportunities,"In identifying the sustainability-related risks and opportunities that could reasonably be expected to affect its prospects, an entity shall apply the requirements on sources of guidance in paragraphs 54–55.",B,7,,General Requirements,Identifying sustainability-related risks and opportunities,auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B9,28,B,Application guidance,Reasonable and supportable information,"An entity may use various sources of data that may be both internal and external. Possible data sources include the entity’s risk management processes; industry and peer group experience; and external ratings, reports and statistics. Information that is used by the entity in preparing its financial statements, operating its business model, setting its strategy and managing its risks and opportunities is considered to be available to the entity without undue cost or effort.",B,9,,Strategy,Reasonable and supportable information,auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B13,28,B,Application guidance,Materiality (paragraphs 17–19),"Paragraph 17 requires an entity to disclose material information about the sustainability-related risks and opportunities that could reasonably be expected to affect the entity’s prospects. Materiality of information is judged in relation to whether omitting, misstating or obscuring that information could reasonably be expected to influence decisions of primary users of general purpose financial reports, which provide information about a specific reporting entity.",B,13,,General Requirements,Materiality (paragraphs 17–19),auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B14,29,B,Application guidance,Materiality (paragraphs 17–19),"The decisions of primary users relate to providing resources to the entity and involve decisions about: (a) buying, selling or holding equity and debt instruments; (b) providing or selling loans and other forms of credit; or (c) exercising rights to vote on, or otherwise influence, the entity’s management’s actions that affect the use of the entity’s economic resources.",B,14,,General Requirements,Materiality (paragraphs 17–19),auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B15,29,B,Application guidance,Materiality (paragraphs 17–19),"The decisions described in paragraph B14 depend on primary users’ expectations about returns, for example, dividends, principal and interest payments or market price increases. Those expectations depend on primary users’ assessment of the amount, timing and uncertainty of future net cash inflows to the entity and on their assessment of stewardship of the entity’s economic resources by the entity’s management and its governing body(s) or individual(s).",B,15,,General Requirements,Materiality (paragraphs 17–19),auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B16,29,B,Application guidance,Materiality (paragraphs 17–19),Assessing whether information could reasonably be expected to influence the decisions made by primary users requires consideration of the characteristics of those users and of the entity’s own circumstances.,B,16,,General Requirements,Materiality (paragraphs 17–19),auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B17,29,B,Application guidance,Materiality (paragraphs 17–19),"Sustainability-related financial disclosures are prepared for primary users who have reasonable knowledge of business and economic activities and who review and analyse information diligently. At times, even well-informed and diligent users may need to seek the aid of an adviser to understand sustainability-related financial information.",B,17,,General Requirements,Materiality (paragraphs 17–19),auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B18,29,B,Application guidance,Materiality (paragraphs 17–19),"Individual primary users may have different, and sometimes even conflicting, information needs and desires. Information needs of primary users may also evolve over time. Sustainability-related financial disclosures are intended to meet common information needs of primary users. Identifying material information",B,18,,General Requirements,Materiality (paragraphs 17–19),auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B19,29,B,Application guidance,Materiality (paragraphs 17–19),"Materiality judgements are specific to an entity. Consequently, this Standard does not specify any thresholds for materiality or predetermine what would be material in a particular situation.",B,19,,General Requirements,Materiality (paragraphs 17–19),auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B20,29,B,Application guidance,Materiality (paragraphs 17–19),"To identify material information about a sustainability-related risk or opportunity, an entity shall apply, as the starting point, the requirements of the IFRS Sustainability Disclosure Standard that specifically applies to that sustainability-related risk or opportunity. In the absence of an IFRS Sustainability Disclosure Standard that specifically applies to a sustainability-related risk or opportunity, the entity shall apply the requirements on sources of guidance specified in paragraphs 57–58. Those sources specify information, including metrics, that may be relevant to a particular sustainability-related risk or opportunity, to a particular industry or in specified circumstances.",B,20,,General Requirements,Materiality (paragraphs 17–19),auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B21,30,B,Application guidance,Materiality (paragraphs 17–19),"An entity shall assess whether the information identified in applying paragraph B20, either individually or in combination with other information, is material in the context of the entity’s sustainability-related financial disclosures taken as a whole. In assessing whether information is material, an entity shall consider both quantitative and qualitative factors. For example, an entity might consider the magnitude and the nature of the effect of a sustainability-related risk or opportunity on the entity.",B,21,,General Requirements,Materiality (paragraphs 17–19),auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B22,30,B,Application guidance,Materiality (paragraphs 17–19),"In some cases, IFRS Sustainability Disclosure Standards require the disclosure of information about possible future events with uncertain outcomes. In judging whether information about such possible future events is material, an entity shall consider: (a) the potential effects of the events on the amount, timing and uncertainty of the entity’s future cash flows over the short, medium and long term (referred to as ‘the possible outcome’); and (b) the range of possible outcomes and the likelihood of the possible outcomes within that range.",B,22,,General Requirements,Materiality (paragraphs 17–19),auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B23,30,B,Application guidance,Materiality (paragraphs 17–19),"When considering possible outcomes, an entity shall consider all pertinent facts and circumstances. Information about a possible future event is more likely to be judged as being material if the potential effects are significant and the event is likely to occur. However, an entity shall also consider whether information about low-probability and high-impact outcomes might be material either individually or in combination with information about other low-probability and high-impact outcomes. For example, an entity might be exposed to several sustainability-related risks, each of which could cause the same type of disruption—such as disruption to the entity’s supply chain. Information about an individual source of risk might not be material if disruption from that source is highly unlikely to occur. However, information about the aggregate risk—the risk of supply chain disruption from all sources —might be material.",B,23,,General Requirements,Materiality (paragraphs 17–19),auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B24,30,B,Application guidance,Materiality (paragraphs 17–19),"If a possible future event is expected to affect an entity’s cash flows, but only many years in the future, information about that event is usually less likely to be judged material than information about a possible future event with similar effects that are expected to occur sooner. However, in some circumstances, an item of information could reasonably be expected to influence primary users’ decisions regardless of the magnitude of the potential effects of the future event or the timing of that event. For example, this might happen if information about a particular sustainability-related risk or opportunity is highly scrutinised by primary users of an entity’s general purpose financial reports.",B,24,,General Requirements,Materiality (paragraphs 17–19),auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B25,30,B,Application guidance,Materiality (paragraphs 17–19),An entity need not disclose information otherwise required by an IFRS Sustainability Disclosure Standard if the information is not material. This is the case even if the IFRS Sustainability Disclosure Standard contains a list of specific requirements or describes them as minimum requirements.,B,25,,General Requirements,Materiality (paragraphs 17–19),auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B26,31,B,Application guidance,Materiality (paragraphs 17–19),"An entity shall disclose additional information when compliance with the specifically applicable requirements in an IFRS Sustainability Disclosure Standard is insufficient to enable users of general purpose financial reports to understand the effects of sustainability-related risks and opportunities on the entity’s cash flows, its access to finance and cost of capital over the short, medium and long term.",B,26,,General Requirements,Materiality (paragraphs 17–19),auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B27,31,B,Application guidance,Materiality (paragraphs 17–19),"An entity shall identify its sustainability-related financial disclosures clearly and distinguish them from other information provided by the entity (see paragraph 62). An entity shall not obscure material information. Information is obscured if it is communicated in a way that would have a similar effect for primary users to omitting or misstating that information. Examples of circumstances that might result in material information being obscured include: (a) material information is not clearly distinguished from additional information that is not material; (b) material information is disclosed in the sustainability-related financial disclosures, but the language used is vague or unclear; (c) material information about a sustainability-related risk or opportunity is scattered throughout the sustainability-related financial disclosures; (d) items of information that are dissimilar are inappropriately aggregated; (e) items of information that are similar are inappropriately disaggregated; and (f) the understandability of the sustainability-related financial disclosures is reduced as a result of material information being hidden by immaterial information to the extent that a primary user is unable to determine what information is material.",B,27,,General Requirements,Materiality (paragraphs 17–19),auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B28,31,B,Application guidance,Materiality (paragraphs 17–19),"An entity shall reassess its materiality judgements at each reporting date to take account of changed circumstances and assumptions. Because of changes in the entity’s individual circumstances, or in the external environment, some types of information included in an entity’s sustainability-related financial disclosures for prior periods might no longer be material. Conversely, some types of information not previously disclosed might become material.",B,28,,General Requirements,Materiality (paragraphs 17–19),auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B31,32,B,Application guidance,Interaction with law or regulation,"Law or regulation might specify requirements for an entity to disclose sustainability-related information in its general purpose financial reports. In such circumstances, the entity is permitted to include in its sustainability-related financial disclosures information to meet legal or regulatory requirements, even if that information is not material. However, such information shall not obscure material information.",B,31,,General Requirements,Interaction with law or regulation,auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B32,32,B,Application guidance,Interaction with law or regulation,"An entity shall disclose material sustainability-related financial information, even if law or regulation permits the entity not to disclose such information.",B,32,,General Requirements,Interaction with law or regulation,auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B33,32,B,Application guidance,Interaction with law or regulation,"An entity need not disclose information otherwise required by an IFRS Sustainability Disclosure Standard if law or regulation prohibits the entity from disclosing that information. If an entity omits material information for that reason, it shall identify the type of information not disclosed and explain the source of the restriction.",B,33,,General Requirements,Interaction with law or regulation,auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B34,32,B,Application guidance,Commercially sensitive information,"If an entity determines that information about a sustainability-related opportunity is commercially sensitive in the limited circumstances described in paragraph B35, the entity is permitted to omit that information from its sustainability-related financial disclosures. Such an omission is permitted even if information is otherwise required by an IFRS Sustainability Disclosure Standard and the information is material.",B,34,,General Requirements,Commercially sensitive information,auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B35,32,B,Application guidance,Commercially sensitive information,"An entity qualifies for the exemption specified in paragraph B34 if, and only if: (a) information about the sustainability-related opportunity is not already publicly available; (b) disclosure of that information could reasonably be expected to prejudice seriously the economic benefits the entity would otherwise be able to realise in pursuing the opportunity; and (c) the entity has determined that it is impossible to disclose that information in a manner—for example, at an aggregated level—that would enable the entity to meet the objectives of the disclosure requirements without prejudicing seriously the economic benefits the entity would otherwise be able to realise in pursuing the opportunity.",B,35,,General Requirements,Commercially sensitive information,auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B36,33,B,Application guidance,Commercially sensitive information,"If an entity elects to use the exemption specified in paragraph B34, the entity shall, for each item of information omitted: (a) disclose the fact that it has used the exemption; and (b) reassess, at each reporting date, whether the information qualifies for the exemption.",B,36,,General Requirements,Commercially sensitive information,auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B37,33,B,Application guidance,Commercially sensitive information,An entity is prohibited from using the exemption specified in paragraph B34 in relation to a sustainability-related risk or as a basis for broad non-disclosure of sustainability-related financial information.,B,37,,General Requirements,Commercially sensitive information,auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B38,33,B,Application guidance,Reporting entity (paragraph 20),"Paragraph 20 requires that sustainability-related financial disclosures shall be for the same reporting entity as the related financial statements. For example, consolidated financial statements prepared in accordance with IFRS Accounting Standards provide information about the parent and its subsidiaries as a single reporting entity. Consequently, that entity’s sustainability-related financial disclosures shall enable users of general purpose financial reports to understand the effects of the sustainability-related risks and opportunities on the cash flows, access to finance and cost of capital over the short, medium and long term for the parent and its subsidiaries.",B,38,,General Requirements,Reporting entity (paragraph 20),auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B39,33,B,Application guidance,Connected information (paragraphs 21–24),Paragraph 21 requires an entity to provide information in a manner that enables users of general purpose financial reports to understand connections both between the items to which the information relates and between disclosures provided by the entity in its general purpose financial reports.,B,39,,General Requirements,Connected information (paragraphs 21–24),auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B40,33,B,Application guidance,Connected information (paragraphs 21–24),"Connected information provides insight into connections between the items to which the information relates. For example: (a) if an entity pursued a particular sustainability-related opportunity and that resulted in an increase in the entity’s revenue, connected information will depict that relationship between the entity’s strategy and its financial performance; (b) if an entity identified a trade-off between two sustainability-related risks it is exposed to and took action on the basis of its assessment of that trade-off, connected information will depict the relationship between those risks and the entity’s strategy; and (c) if an entity committed to a particular sustainability-related target, but that commitment has not yet affected the entity’s financial position or financial performance because the applicable recognition criteria have not been met, connected information will depict that relationship.",B,40,,General Requirements,Connected information (paragraphs 21–24),auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B41,33,B,Application guidance,Connected information (paragraphs 21–24),"Connected information includes: (a) connections between various types of information about a particular sustainability-related risk or opportunity, such as: (i) between disclosures on governance, strategy and risk management; and (ii) between narrative information and quantitative information (including related metrics and targets and information in the related financial statements). (b) connections between disclosures about various sustainability-related risks and opportunities. For example, if an entity integrates its oversight of sustainability-related risks and opportunities, the entity shall integrate the disclosures on governance instead of providing separate disclosures on governance for each sustainability-related risk and opportunity.",B,41,,General Requirements,Connected information (paragraphs 21–24),auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B42,34,B,Application guidance,Connected information (paragraphs 21–24),"Drawing connections between disclosures involves, but is not limited to, providing necessary explanations and cross-references and using consistent data, assumptions, and units of measure. In providing connected information, an entity shall: (a) explain connections between disclosures in a clear and concise manner; (b) avoid unnecessary duplication if IFRS Sustainability Disclosure Standards require the disclosure of common items of information; and (c) disclose information about significant differences between the data and assumptions used in preparing the entity’s sustainability-related financial disclosures and the data and assumptions used in preparing the related financial statements.",B,42,,General Requirements,Connected information (paragraphs 21–24),auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B43,34,B,Application guidance,Connected information (paragraphs 21–24),"For example, in providing connected information an entity might need to explain the effect or likely effect of its strategy on its financial statements and financial planning, or explain how that strategy relates to the metrics the entity uses to measure progress against targets. Another entity might need to explain how its use of natural resources or changes within its supply chain could amplify or, in contrast, reduce its sustainability-related risks and opportunities. The entity might need to link the information about its use of natural resources or changes within its supply chain to information about current or anticipated financial effects on the entity’s production costs, its strategic response to mitigate those risks and its related investment in new assets. The entity might need to link narrative information to the related metrics and targets and to information in the related financial statements.",B,43,,General Requirements,Connected information (paragraphs 21–24),auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B44,34,B,Application guidance,Connected information (paragraphs 21–24),"Other examples of connected information include: (a) an explanation of the combined effects of the entity’s sustainability-related risks and opportunities and its strategy on its financial position, financial performance and cash flows over the short, medium and long term. For example, an entity might face decreasing demand for its products because of consumer preferences for lower-carbon alternatives. The entity might need to explain how its strategic response, such as closing a major factory, could affect its workforce and local communities, and the effect of such a closure on the useful lives of its assets and on impairment assessments. (b) a description of the alternatives that an entity evaluated in setting its strategy in response to its sustainability-related risks and opportunities, including a description of the trade-offs between those risks and opportunities that the entity considered (see paragraph 33(c)). For example, an entity might need to explain the potential effects of its decision to restructure its operations in response to a sustainability-related risk on the future size and composition of the entity’s workforce.",B,44,,General Requirements,Connected information (paragraphs 21–24),auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B45,35,B,Application guidance,Information included by cross-reference (paragraph 63),"Information required by an IFRS Sustainability Disclosure Standard might be available in another report published by the entity. For example, the required information could be disclosed in the related financial statements. Material information can be included in an entity’s sustainability-related financial disclosures by cross-reference, provided that: (a) the cross-referenced information is available on the same terms and at the same time as the sustainability-related financial disclosures; and (b) the complete set of sustainability-related financial disclosures is not made less understandable by including information by cross-reference.",B,45,,General Requirements,Information included by cross-reference (paragraph 63),auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B46,35,B,Application guidance,Information included by cross-reference (paragraph 63),"Information included by cross-reference becomes part of the complete set of sustainability-related financial disclosures and shall comply with the requirements of IFRS Sustainability Disclosure Standards. For example, it needs to be relevant, representationally faithful, comparable, verifiable, timely and understandable. The body(s) or individual(s) that authorises the general purpose financial reports takes the same responsibility for the information included by cross-reference as it does for the information included directly.",B,46,,General Requirements,Information included by cross-reference (paragraph 63),auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B47,35,B,Application guidance,Information included by cross-reference (paragraph 63),If information required by an IFRS Sustainability Disclosure Standard is included by cross-reference: (a) the sustainability-related financial disclosures shall clearly identify the report within which that information is located and explain how to access that report; and (b) the cross-reference shall be to a precisely specified part of that report.,B,47,,General Requirements,Information included by cross-reference (paragraph 63),auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B48,35,B,Application guidance,Interim reporting (paragraph 69),"In the interest of timeliness and cost considerations, and to avoid repetition of information previously reported, an entity may be required or choose to provide less information at interim dates than it provides in its annual sustainability-related financial disclosures. Interim sustainability-related financial disclosures are intended to provide an update on the latest complete set of annual disclosures of sustainability-related financial information. These disclosures focus on new information, events and circumstances and do not duplicate information previously reported. Although the information provided in interim sustainability-related financial disclosures may be more condensed than in annual sustainability-related financial disclosures, an entity is not prohibited or discouraged from publishing a complete set of sustainability-related financial disclosures as specified in this Standard as part of its interim general purpose financial report.",B,48,,General Requirements,Interim reporting (paragraph 69),auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B49,36,B,Application guidance,"Comparative information (paragraphs 52, 70 and 83–86)",Paragraph 70 requires an entity to disclose comparative information in respect of the preceding period for all amounts disclosed in the reporting period.,B,49,,Metrics and Targets,"Comparative information (paragraphs 52, 70 and 83–86)",auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B50,36,B,Application guidance,Metrics,"In some cases, the amount disclosed for a metric is an estimate. Except as specified in paragraph B51, if an entity identifies new information in relation to the estimated amount disclosed in the preceding period and the new information provides evidence of circumstances that existed in that period, the entity shall: (a) disclose a revised comparative amount that reflects that new information; (b) disclose the difference between the amount disclosed in the preceding period and the revised comparative amount; and (c) explain the reasons for revising the comparative amount.",B,50,,Metrics and Targets,Metrics,auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B51,36,B,Application guidance,Metrics,"In applying the requirement in paragraph B50, an entity need not disclose a revised comparative amount: (a) if it is impracticable to do so (see paragraph B54). (b) if the metric is forward-looking. Forward-looking metrics relate to possible future transactions, events and other conditions. The entity is permitted to revise a comparative amount for a forward-looking metric if doing so does not involve the use of hindsight.",B,51,,Metrics and Targets,Metrics,auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B52,36,B,Application guidance,Metrics,"If an entity redefines or replaces a metric in the reporting period, the entity shall: (a) disclose a revised comparative amount, unless it is impracticable to do so; (b) explain the changes; and (c) explain the reasons for those changes, including why the redefined or replacement metric provides more useful information.",B,52,,Metrics and Targets,Metrics,auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B53,36,B,Application guidance,Metrics,"If an entity introduces a new metric in the reporting period, it shall disclose a comparative amount for that metric unless it is impracticable to do so.",B,53,,Metrics and Targets,Metrics,auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B54,36,B,Application guidance,Metrics,"Sometimes, it is impracticable to revise a comparative amount to achieve comparability with the reporting period. For example, data might not have been collected in the preceding period in a way that allows retrospective application of a new definition of a metric, and it might be impracticable to recreate the data. If it is impracticable to revise a comparative amount for the preceding period, an entity shall disclose that fact.",B,54,,Metrics and Targets,Metrics,auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B55,37,B,Application guidance,Errors,Paragraph 83 requires an entity to correct material prior period errors.,B,55,,General Requirements,Errors,auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B56,37,B,Application guidance,Errors,"Such errors include: the effects of mathematical mistakes, mistakes in applying the definitions for metrics or targets, oversights or misinterpretations of facts, and fraud.",B,56,,Metrics and Targets,Errors,auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B57,37,B,Application guidance,Errors,"Potential reporting period errors discovered in that period are corrected before the sustainability-related financial disclosures are authorised for issue. However, material errors are sometimes not discovered until a subsequent period.",B,57,,General Requirements,Errors,auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B58,37,B,Application guidance,Errors,"If an entity identifies a material error in its prior period(s) sustainability-related financial disclosures, it shall disclose: (a) the nature of the prior period error; (b) the correction, to the extent practicable, for each prior period disclosed; and (c) if correction of the error is impracticable, the circumstances that led to the existence of that condition and a description of how and from when the error has been corrected.",B,58,,General Requirements,Errors,auto_appendix_reference_or_heading,1.0,[]
IFRS S1,B59,37,B,Application guidance,Errors,"When it is impracticable to determine the effect of an error on all prior periods presented, the entity shall restate the comparative information to correct the error from the earliest date practicable.",B,59,,General Requirements,Errors,auto_appendix_reference_or_heading,1.0,[]
IFRS S1,C1,38,C,Appendix C,Sources of guidance,"This Standard requires (see paragraph 57) that in the absence of an IFRS Sustainability Disclosure Standard that specifically applies to a sustainability-related risk or opportunity, an entity shall apply judgement to identify information that: (a) is relevant to the decision-making of users of general purpose financial reports; and (b) faithfully represents that sustainability-related risk or opportunity.",C,1,,General Requirements,Sources of guidance,auto_appendix_reference_or_heading,1.0,[]
IFRS S1,C2,38,C,Appendix C,Sources of guidance,"In making that judgement, an entity may—to the extent that these sources assist the entity in meeting the objective of this Standard (see paragraphs 1–4) and do not conflict with IFRS Sustainability Disclosure Standards—refer to and consider the applicability of: (a) the Global Reporting Initiative Standards; and (b) the European Sustainability Reporting Standards.",C,2,,General Requirements,Sources of guidance,auto_appendix_reference_or_heading,1.0,[]
IFRS S1,C3,38,C,Appendix C,Sources of guidance,"In applying the sources of guidance specified in paragraph C2, an entity shall not obscure material information required by IFRS Sustainability Disclosure Standards (see paragraph B27). If an entity applies the sources of guidance specified in paragraph C2 without applying the requirements in IFRS Sustainability Disclosure Standards, the entity shall not make an explicit and unreserved statement of compliance with IFRS Sustainability Disclosure Standards.",C,3,,General Requirements,Sources of guidance,auto_appendix_reference_or_heading,1.0,[]
IFRS S1,D1,39,D,Appendix D,Introduction,"The Conceptual Framework for Financial Reporting (Conceptual Framework) was issued by the International Accounting Standards Board (IASB). It describes the objective of, and the concepts that apply to, general purpose financial reports. One purpose of the Conceptual Framework is to assist the IASB to develop IFRS Accounting Standards for preparing financial statements based on consistent concepts.",D,1,,Governance,Introduction,auto_appendix_reference_or_heading,1.0,[]
IFRS S1,D2,39,D,Appendix D,Introduction,"Sustainability-related financial disclosures are part of general purpose financial reports. The qualitative characteristics in the Conceptual Framework, therefore, apply to sustainability-related financial information. However, the nature of some of the information required to meet the objective of this Standard (see paragraphs 1–4) differs in some respects from the information provided in financial statements.",D,2,,General Requirements,Introduction,auto_appendix_reference_or_heading,1.0,[]
IFRS S1,D3,39,D,Appendix D,Introduction,"Sustainability-related financial information is useful if it is relevant and faithfully represents what it purports to represent. Relevance and faithful representation are fundamental qualitative characteristics of useful sustainability-related financial information. The usefulness of sustainability-related financial information is enhanced if the information is comparable, verifiable, timely and understandable. Comparability, verifiability, timeliness and understandability are enhancing characteristics of useful sustainability-related financial information. Fundamental qualitative characteristics of useful sustainability-Relevance",D,3,,General Requirements,Introduction,auto_appendix_reference_or_heading,1.0,[]
IFRS S1,D7,40,D,Appendix D,Introduction,"The predictive value and confirmatory value of sustainability-related financial information are interrelated. Information that has predictive value often also has confirmatory value. For example, information for the current year about greenhouse gas emissions, which can be used as the basis for predicting greenhouse gas emissions in future years, can also be compared with predictions about greenhouse gas emissions for the current year that were made in past years. The results of those comparisons can help a user to correct and improve the processes that were used to make those previous predictions.",D,7,,Metrics and Targets,Introduction,auto_appendix_reference_or_heading,1.0,[]
IFRS S1,D8,40,D,Appendix D,Materiality,"Information is material if omitting, misstating or obscuring that information could reasonably be expected to influence decisions that the primary users of general purpose financial reports make on the basis of those reports, which provide information about a specific reporting entity. In other words, materiality is an entity-specific aspect of relevance. The materiality of information is assessed in the context of an entity’s sustainability-related financial disclosures and is based on the nature or magnitude of the item to which the information relates, or both. Faithful representation",D,8,,General Requirements,Materiality,auto_appendix_reference_or_heading,1.0,[]
